name,description,criteria,is_dynamic
High-Value Prospects,Companies with high revenue potential and strong engagement scores,"{""revenue"": {""min"": 10000000}, ""score"": {""min"": 70}, ""status"": ""prospect""}",true
Technology Companies,All companies in the technology industry,"{""industry"": ""technology""}",true
Enterprise Customers,Large enterprise companies that are current customers,"{""size"": ""enterprise"", ""status"": ""customer""}",true
Healthcare Prospects,Healthcare companies that are potential customers,"{""industry"": ""healthcare"", ""status"": [""prospect""]}",true
Small Business Segment,Small companies and startups for targeted outreach,"{""size"": [""startup"", ""small""]}",true
High-Score Leads,Leads with high qualification scores for priority follow-up,"{""score"": {""min"": 80}, ""entity_type"": ""lead""}",true
Inactive Companies,Companies that haven't been contacted recently,"{""status"": ""inactive"", ""last_contact"": {""days_ago"": 90}}",true
Financial Services,Companies in the finance and insurance industries,"{""industry"": [""finance""]}",true
Manufacturing Sector,Manufacturing companies for industry-specific campaigns,"{""industry"": ""manufacturing""}",true
West Coast Companies,Companies located on the West Coast,"{""state"": [""CA"", ""OR"", ""WA""]}",true
Medium-Sized Prospects,Medium-sized companies with growth potential,"{""size"": ""medium"", ""status"": ""prospect"", ""employees"": {""min"": 50, ""max"": 200}}",true
Recent Customers,Companies that became customers in the last 6 months,"{""status"": ""customer"", ""created_at"": {""months_ago"": 6}}",true
High-Revenue Customers,Current customers with significant revenue,"{""status"": ""customer"", ""revenue"": {""min"": 50000000}}",true
Consulting Partners,Partner companies in the consulting space,"{""status"": ""partner"", ""industry"": ""consulting""}",true
Education Sector,Educational institutions and EdTech companies,"{""industry"": ""education""}",true 
