id,name,website,industry,size,phone,email,address,city,state,country,description,status,revenue,employees,founded_year,linkedin_url,notes,score
comp_001,TechFlow Solutions,https://techflow.com,Technology,medium,+1-555-0201,contact@techflow.com,123 Tech Street,San Francisco,CA,USA,Leading enterprise software solutions provider,customer,2500000,150,2015,https://linkedin.com/company/techflow,Excellent long-term client with multiple projects,92
comp_002,Global Manufacturing Corp,https://globalmanufacturing.com,Manufacturing,large,+1-555-0202,info@globalmanufacturing.com,456 Industrial Blvd,Detroit,MI,USA,Large-scale manufacturing and industrial solutions,customer,45000000,2500,1985,https://linkedin.com/company/globalmanufacturing,Strategic partner for industrial automation,88
comp_003,HealthCare Innovations,https://healthcareinnovations.com,Healthcare,medium,+1-555-0203,contact@healthcareinnovations.com,789 Medical Center Dr,Boston,MA,USA,Healthcare technology and medical device innovation,prospect,8500000,320,2010,https://linkedin.com/company/healthcareinnovations,High potential for AI platform integration,85
comp_004,StartupVenture Inc,https://startupventure.io,Technology,startup,+1-555-0204,hello@startupventure.io,321 Innovation Ave,Austin,TX,USA,Fast-growing fintech startup with mobile focus,customer,1200000,45,2020,https://linkedin.com/company/startupventure,Agile client with rapid development cycles,78
comp_005,Financial Services Group,https://financialservicesgroup.com,Financial Services,large,+1-555-0205,contact@financialservicesgroup.com,654 Wall Street,New York,NY,USA,Comprehensive financial services and risk management,customer,125000000,5000,1978,https://linkedin.com/company/financialservicesgroup,Enterprise client with complex compliance needs,90
comp_006,EduTech Academy,https://edutech-academy.com,Education,medium,+1-555-0206,info@edutech-academy.com,987 Learning Blvd,Chicago,IL,USA,Educational technology and online learning platforms,prospect,3200000,180,2012,https://linkedin.com/company/edutech-academy,Growing education sector opportunity,82
comp_007,Retail Chain Solutions,https://retailchainsolutions.com,Retail,large,+1-555-0207,contact@retailchainsolutions.com,147 Commerce St,Los Angeles,CA,USA,Multi-location retail management and POS systems,customer,18500000,850,1995,https://linkedin.com/company/retailchainsolutions,Established retail partner with expansion plans,89
comp_008,Consulting Partners LLC,https://consultingpartners.com,Consulting,medium,+1-555-0208,partners@consultingpartners.com,258 Business Park,Seattle,WA,USA,Strategic business consulting and digital transformation,prospect,5500000,95,2008,https://linkedin.com/company/consultingpartners,High-value consulting opportunity,95
comp_009,Real Estate Dynamics,https://realestatedynamics.com,Real Estate,medium,+1-555-0209,info@realestatedynamics.com,369 Property Lane,Miami,FL,USA,Commercial and residential real estate management,prospect,4200000,125,2005,https://linkedin.com/company/realestatedynamics,Property management software opportunity,68
comp_010,Media & Entertainment Co,https://mediaentertainment.com,Media,large,+1-555-0210,contact@mediaentertainment.com,741 Studio Blvd,Los Angeles,CA,USA,Content creation and digital media distribution,prospect,22000000,650,1988,https://linkedin.com/company/mediaentertainment,Content management system potential,75
comp_011,AgriTech Innovations,https://agritech-innovations.com,Agriculture,startup,+1-555-0211,hello@agritech-innovations.com,852 Farm Road,Des Moines,IA,USA,Smart farming and agricultural IoT solutions,prospect,850000,35,2019,https://linkedin.com/company/agritech-innovations,Emerging agtech market opportunity,72
comp_012,Logistics Express,https://logisticsexpress.com,Logistics,large,+1-555-0212,operations@logisticsexpress.com,963 Transport Way,Memphis,TN,USA,Global logistics and supply chain optimization,customer,35000000,1200,1992,https://linkedin.com/company/logisticsexpress,Major logistics partner with optimization needs,87
comp_013,BioTech Research Labs,https://biotechresearch.com,Biotechnology,medium,+1-555-0213,research@biotechresearch.com,159 Science Park,San Diego,CA,USA,Biotechnology research and laboratory management,prospect,6800000,220,2007,https://linkedin.com/company/biotechresearch,Laboratory management system opportunity,80
comp_014,Energy Solutions Corp,https://energysolutions.com,Energy,large,+1-555-0214,contact@energysolutions.com,357 Green Energy Blvd,Houston,TX,USA,Renewable energy and sustainability solutions,customer,52000000,1800,1982,https://linkedin.com/company/energysolutions,Sustainability leader with analytics needs,93
comp_015,Fashion Forward Brands,https://fashionforward.com,Fashion,medium,+1-555-0215,style@fashionforward.com,468 Fashion Ave,New York,NY,USA,Fashion retail and e-commerce platform,prospect,12500000,280,2001,https://linkedin.com/company/fashionforward,E-commerce platform modernization opportunity,69
comp_016,Insurance Specialists,https://insurancespecialists.com,Insurance,large,+1-555-0216,claims@insurancespecialists.com,579 Insurance Plaza,Hartford,CT,USA,Comprehensive insurance services and claims processing,customer,28000000,950,1975,https://linkedin.com/company/insurancespecialists,Insurance automation and claims processing,88
comp_017,Cloud Computing Corp,https://cloudcomputing.com,Technology,large,+1-555-0217,cloud@cloudcomputing.com,681 Cloud Street,San Jose,CA,USA,Cloud infrastructure and migration services,customer,42000000,1500,2009,https://linkedin.com/company/cloudcomputing,Cloud infrastructure partnership,94
comp_018,Food & Beverage Co,https://foodbeverage.com,Food & Beverage,large,+1-555-0218,supply@foodbeverage.com,792 Food Court,Atlanta,GA,USA,Food production and beverage distribution,prospect,38000000,2200,1968,https://linkedin.com/company/foodbeverage,Supply chain optimization opportunity,71
comp_019,Transportation Systems,https://transportsystems.com,Transportation,large,+1-555-0219,fleet@transportsystems.com,813 Transit Blvd,Denver,CO,USA,Transportation management and fleet optimization,prospect,25000000,800,1985,https://linkedin.com/company/transportsystems,Transportation system integration project,86
comp_020,Pharmaceutical Research,https://pharmaresearch.com,Pharmaceutical,large,+1-555-0220,research@pharmaresearch.com,924 Pharma Drive,Philadelphia,PA,USA,Pharmaceutical research and drug development,prospect,85000000,3500,1965,https://linkedin.com/company/pharmaresearch,Research platform and compliance systems,84 
